imo,mmsi,name,flag,type
8611099,775324000,MARGARITA,VE,"General Cargo"
8132055,775320000,MELINA,VE,Cargo
9190561,775111111,NEPTUNO,VE,"Other Type"
9310305,775107000,SAMBA,VE,"Oil/Chemical Tanker"
9297436,775106000,"MT FELICITY",VE,"Crude Oil Tanker"
9407407,775104000,"HORIZON THEONI",VE,"Oil/Chemical Tanker"
9407378,775103000,"HORIZON ATHENA",VE,"Oil/Chemical Tanker"
9333656,775102000,"ICE FIGHTER",VE,"Crude Oil Tanker"
9301732,775100000,"ICE ENERGY",VE,"Crude Oil Tanker"
9301744,775099000,"ICE VICTORY",VE,"Crude Oil Tanker"
9416393,775098000,HONESTY,VE,"Oil/Chemical Tanker"
9413676,775096000,DIGNITY,VE,"Oil Products Tanker"
9552501,775094000,TAMANACO,VE,Tanker
9552496,775093000,TEREPAIMA,VE,Tanker
9416381,775092000,CLARITY,VE,"Oil/Chemical Tanker"
9543512,775091000,PARAMACONI,VE,"Crude Oil Tanker"
9543500,775090000,YARE,VE,Tanker
9444821,775083000,PICACHO,VE,"Oil Products Tanker"
8012786,775082000,"PICO EL TORO",VE,"Oil/Chemical Tanker"
7802134,775069000,"BRITISH SHIELD",VE,"Oil Products Tanker"
8022858,775056000,CAURA,VE,"Oil/Chemical Tanker"
9117492,775054000,"MANUELA SAENZ",VE,"Oil Products Tanker"
9117478,775053000,"LUISA CACERES DE ARI",VE,"Oil Products Tanker"
9117507,775052000,"NEGRA MATEA",VE,Tanker
7613961,775050000,EMPRENDEDORA,VE,"Landing Craft"
9117480,775048000,"NEGRA HIPOLITA",VE,"Oil Products Tanker"
7700726,775030000,"M/N RIO ORINOCO",VE,Cargo
8117524,775010000,INCIARTE,VE,"Crude Oil Tanker"
1048576,774559424,CANAIMA,,"Not available"
7155880,773982424,"RIO CARONI",,Cargo
9623180,771992427,GEOSAND,,"Pleasure Craft"
9753131,770576367,ARRIERO,UY,Tug
8519590,770576364,"VB GLADIADOR",UY,"Anchor Handling Vessel"
6819104,770576346,"RIO SOLIS III",UY,Trawler
9461740,770576343,"DIDI K",UY,"Anchor Handling Vessel"
8919506,770576342,"ATLANTIC EXPRESS",UY,"Ro-Ro/Passenger Ship"
7802952,770576338,ANTWERPEN,UY,"Self Discharging Bulk Carrier"
8818879,770576329,"PROVINCIAS UNIDAS",UY,"General Cargo"
9024621,770576321,RAMBLA,UY,"Fishing Vessel"
9460409,770576318,SOFIA,UY,Tanker
9298014,770576302,"PUNTA SAYAGO",UY,Tug
7715953,770576300,"DON MIGUEL",UY,"Self Discharging Bulk Carrier"
7723671,770576297,"ANCAP OCTAVO",UY,Tug
9646235,770576283,"PUNTA DIAMANTE",UY,Tug
8806151,770576282,ALESSI,UY,"General Cargo"
8608822,770576281,"PALMIRA 1",UY,"Fishing Vessel"
9551868,770576279,BLUEFIN,UY,"Oil/Chemical Tanker"
9646223,770576278,"PUNTA PEREIRA",UY,Tug
7645732,770576277,"ELS MAITE",UY,"Offshore Supply Ship"
9610028,770576272,FRANCISCO,UY,"Ro-Ro/Passenger Ship"
